Faculty Name,Course Code,Course Name,Semester,Branch
Dr. Sibasankar Padhy,MA163,Linear Algebra,2,CSE
Dr. C. B. Akki,CS163,Data Structures and Algorithms,2,CSE
Dr. Anushree Kini and Dr. Deepak K T,HS204,Economics,2,CSE
Dr. Animesh Roy,CS165,Mathematical Foundations of Computing,2,CSE
Dr. Abdul Wahid,DS165,Data Science with Python,2,CSE
Dr. Prakash Pawar,EC166,Introduction to Digital VLSI Design,2,CSE
Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,HS167,Industry Insights Program Part 1,2,CSE
Dr. Shirshendu Layek,CS169,Linux for Engineers,2,CSE
Dr. Prabhu Prasad BM,HS170,Photography101,2,CSE
Prof. Chachadi and Dr. Chandrika K,HS171,Introduction to Holistic Personality Development,2,CSE
Dr. Sandesh P,AS172,Visual Design-PAPC,2,CSE

Dr. Pavan,CS206,Theory of Computation,4,CSE
Dr. Sunil C K,CS206,Theory of Computation,4,CSE
Dr. Anand Barangi,MA202,Linear Algebra,4,CSE
Dr. Vivekraj V K,CS301,Software Engineering,4,CSE
Dr. Sunil Kumar P V,CS301,Software Engineering,4,CSE
Dr. Suvadip Hazra,CS204,Operating System,4,CSE
Dr. Malay and Dr. Dibyajyothi,CS204,Operating System,4,CSE
Dr. Pramod Yelmewad,CS310,Database Management Systems,4,CSE
Dr. Abdul,CS310,Database Management Systems,4,CSE
Dr. Jolly Thomas,HS205,Ethics,4,CSE

Dr. Girish G N and Dr. Krishnendu Ghosh,CS307,Machine Learning,6,CSE
Dr. Chinmayanand,CS471,Deep Computer Vision,6,CSE
Dr. Sunil S,CS465,Large Language Models,6,CSE
Dr. Krishnendu,CS458,Natural Language Processing,6,CSE
Dr. Pankaj Kumar and Dr. Rajesh Kumar,EC471,CMOS RF Circuit Design,6,CSE
Prof. SRM Prasanna,CS466,Deep Speech Processing,6,CSE
Dr. Rajendra H,CS455,Blockchain Technology,6,CSE
Dr. Jagadeesha R Bhat,EC361,Introduction to 5G Network,6,CSE
Dr. Pavan,CS467,Model Checking,6,CSE
Dr. Aswath B,PH468,Quantum Communication,6,CSE
Dr. Manish M,CS469,Quantum HPC and AI,6,CSE
Dr. Sandesh P,AS470,Design Thinking and Innovation,6,CSE
Mr. Jagadeesh K (Dr. Sibasankar Padhy),EC472,Automotive Embedded and Multimedia Systems,6,CSE
Dr. Somen,EC473,Microwave Engineering,6,CSE
Dr. Vivekraj V K,CS462,Computer Graphics,6,CSE
Dr. Deepak K T,CS474,Machine Learning,6,CSE
Dr. Malay,CS473,Virtualization and Cloud Computing,6,CSE
Dr. Sunil C K,DS474,Data Analytics and Visualization,6,CSE
Dr. Ramesh Athe,DS475,Statistics for Health Technology,6,CSE
Dr. Girish G N,CS475,Medical Image Analysis,6,CSE
Dr. Sunil Kumar PV,CS472,Bioinformatics,6,CSE
Dr. Pramod Yelmewad and Dr. Animesh Roy,CS399,Mini-Project II,6,CSE

Dr. Pramod Yelmewad and Dr. Animesh Roy,CS499,Major Project,8,CSE
